Type,Name,Endpoint/Entity,Method,Request (JSON / Shape),Response (JSON / Shape),Notes
API,Login,/api/auth/login,POST,"{ email: string, password: string }","{ ok: true }","Sets cookie easyread_auth=mock-session (Next mock). Mock server also validates users/password against SQLite."
API,Logout,/api/auth/logout,POST,"{}","{ ok: true }","Clears cookie easyread_auth (Next mock). Mock server clears auth cookie name auth."
API,Session,/api/auth/session,GET,"{}","{ isAuthenticated: boolean }","Returns whether auth cookie is valid (Next mock)."
API,CurrentUser,/api/users/me,GET,"{}","User | 401","Returns User (displayName/avatar/email). 401 when not authenticated."
API,ListDocuments,/api/documents,GET,"{ page,page_size,order_by,search } (query params)","[{ id,title,created,status }...]","Mock server selects id,title,created,status from documents. Next wraps the backend calls."
API,CreateDocument,/api/documents,POST,"{ query: string, files?: string[], language_style: 'plain'|'easyread', auto_generate_images: boolean, image_generation_options?: object }","documentId string","Mock server accepts query (required for title) OR files; at least one of (query or files) must be present. Creates status='pending' and returns 202+docId."
API,GetDocument,/api/documents/:id,GET,"{ id }","Doc","Returns document parsed into {id,title,created,status}."
API,UpdateDocumentTitle,/api/documents/:id,PATCH,"{ title: string }","{ success: true }","Updates documents.title and modified timestamp."
API,DeleteDocument,/api/documents/:id,DELETE,"{ }","204 No Content","Deletes the document row."
API,Upload,/api/upload,POST,"multipart/form-data: file","{ id, originalName, mimeType, size, previewUrl, createdAt }","Upload is handled by mock server via multer; frontend uploads PDF/DOCX files."
API,ListDocSections,/api/documents/:id/sections,GET,"{ id }","[ sectionId string, ... ]","Mock server returns section ids for a document ordered by sort_order then created."
API,CreateSection,/api/documents/:id/sections,POST,"{ }","sectionId string","Creates an empty section with next sort_order."
API,ReorderSections,/api/documents/:id/sections/reorder,POST,"{ target: string, after?: string|null, before?: string|null }","{ success: true }","Reorders sections within a document (updates sort_order)."
API,GetSection,/api/sections/:id,GET,"{ id }","{ id, document_id, text, image, sort_order, created, modified }","Frontend later normalizes/derives image URL and candidates."
API,UpdateSection,/api/sections/:id,PATCH,"{ text?: string, image?: string|null }","{ success: true }","Partial update of section fields; modified timestamp updated."
API,DeleteSection,/api/sections/:id,DELETE,"{ }","204 No Content","Deletes the section row."
API,GetSectionCandidates,/api/sections/:id/candidates,GET,"{ id }","[ candidate string,... ]","Mock returns COALESCE(image_url,id). Frontend treats returned strings as image URLs (or falls back)."
API,GenerateSectionCandidates,/api/sections/:id/candidates,POST,"{ prompt?: string, ...otherFields }","[ candidateUrl string,... ]","Mock server inserts candidate rows; returns candidateUrls (section.image + placeholders)."
API,ListImages,/api/images,GET,"{}","[{ id, created, url }...]","Frontend `fetchImages` expects ImageDTO[] from backend."
DTO,User,,,"{ displayName: string, avatar: string, email: string }","User","Used by `/api/users/me`."
DTO,LoginPayload,,,"{ email: string, password: string }","-","Used by `login(payload)` in `src/lib/api/users.ts`."
DTO,Doc,,,"-","{ id: string, title: string, created: Date, status: 'ready'|'pending' }","Frontend normalized from backend document DTO."
DTO,CreateDocumentPayload,,,"{ files?: string[], query: string, language_style:'plain'|'easyread', auto_generate_images:boolean, image_generation_options?: Record<string,unknown> }","-","`files` are upload IDs; `query` is an enquiry string."
DTO,Section,,,"-","{ doc_id: string, id: string, order: number, text: string, image: string, candidates: string[] }","Frontend derives `image` and `candidates` (strings treated as image URLs)."
DTO,Image,,,"-","{ id: string, created: Date, url: string }","Frontend model; `ImageDTO` uses ISO string for created."
DTO,ImageDTO,,,"-","{ id: string, created: string (ISO), url: string }","Network/serialization shape."
DB,uploads,uploads,,,"-","-","Columns: id TEXT PK, original_name TEXT, mime_type TEXT, size INTEGER, preview_url TEXT, created_at TEXT."
DB,documents,documents,,,"-","-","Columns: id TEXT PK, title TEXT, files_json TEXT, language_style TEXT, auto_generate_images INTEGER, image_generation_options_json TEXT, created TEXT, modified TEXT, status TEXT."
DB,sections,sections,,,"-","-","Columns: id TEXT PK, document_id TEXT FK->documents(id) ON DELETE CASCADE, text TEXT, image TEXT, sort_order INTEGER, created TEXT, modified TEXT."
DB,section_candidates,section_candidates,,,"-","-","Columns: id TEXT PK, section_id TEXT FK->sections(id) ON DELETE CASCADE, prompt TEXT, options_json TEXT, created_at TEXT, image_url TEXT."
DB,users,users,,,"-","-","Columns: id TEXT PK, email TEXT UNIQUE, password TEXT, name TEXT, created_at TEXT."
DB,auth_sessions,auth_sessions,,,"-","-","Columns: id TEXT PK, user_id TEXT FK->users(id) ON DELETE CASCADE, created_at TEXT, expires_at TEXT."
